,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4183.589844,4213.333496,4210.256348,4200.0,4205.641113,4204.615234,4218.461426,4200.512695,4185.641113,4177.94873,4163.589844,4188.205078,4179.487305,4181.025879
1,4184.102539,4214.358887,4213.333496,4200.0,4204.102539,4211.794922,4218.974121,4215.384766,4206.666504,4189.230957,4173.846191,4195.384766,4179.487305,4188.205078
2,4196.410156,4219.487305,4224.102539,4204.615234,4212.820313,4220.512695,4226.666504,4226.666504,4231.282227,4216.410156,4202.563965,4211.282227,4196.410156,4205.641113
3,4198.974121,4219.487305,4223.589844,4204.102539,4215.384766,4216.410156,4222.05127,4217.94873,4233.846191,4220.512695,4210.256348,4207.692383,4204.615234,4211.282227
4,4192.820313,4220.512695,4218.461426,4202.05127,4206.153809,4204.615234,4216.410156,4211.282227,4228.205078,4213.846191,4198.461426,4198.461426,4200.512695,4208.717773
5,4196.922852,4220.512695,4218.974121,4201.025879,4204.102539,4198.461426,4215.897461,4207.692383,4219.487305,4217.94873,4197.436035,4202.563965,4202.05127,4205.641113
6,4200.0,4217.94873,4220.0,4196.410156,4205.128418,4200.0,4210.769043,4201.025879,4202.563965,4217.436035,4201.025879,4202.05127,4203.589844,4204.615234
7,4190.256348,4216.410156,4217.436035,4194.871582,4202.05127,4201.538574,4203.589844,4200.512695,4185.641113,4200.512695,4191.282227,4189.230957,4192.307617,4201.025879
8,4180.512695,4211.794922,4210.256348,4196.410156,4202.05127,4200.512695,4198.974121,4198.974121,4177.94873,4189.743652,4182.05127,4183.077148,4184.102539,4193.333496
9,4173.846191,4201.025879,4201.025879,4190.256348,4201.538574,4199.487305,4192.307617,4188.205078,4184.615234,4196.410156,4183.589844,4180.512695,4182.563965,4187.179688
10,4168.205078,4197.436035,4195.384766,4186.153809,4202.05127,4201.538574,4190.769043,4188.205078,4195.897461,4197.94873,4182.05127,4170.769043,4177.94873,4185.641113
11,4174.871582,4208.205078,4201.025879,4194.871582,4209.230957,4203.077148,4198.974121,4201.025879,4207.179688,4197.94873,4181.025879,4171.794922,4177.94873,4189.743652
12,4181.538574,4213.333496,4208.717773,4198.461426,4210.256348,4200.0,4203.077148,4207.692383,4215.384766,4209.230957,4192.820313,4183.589844,4187.692383,4194.871582
13,4185.128418,4216.410156,4214.871582,4196.410156,4208.205078,4200.512695,4206.153809,4215.384766,4218.974121,4220.0,4204.102539,4186.666504,4197.94873,4200.512695
14,4194.871582,4229.230957,4227.692383,4203.589844,4215.384766,4204.615234,4215.897461,4222.563965,4221.025879,4221.538574,4206.666504,4193.333496,4204.615234,4213.846191
15,4193.333496,4229.743652,4232.307617,4201.025879,4218.974121,4200.512695,4214.871582,4214.358887,4208.205078,4215.384766,4205.641113,4198.974121,4206.153809,4220.0
16,4183.589844,4215.384766,4222.563965,4188.205078,4211.282227,4195.897461,4205.128418,4198.461426,4188.717773,4203.589844,4197.94873,4189.230957,4200.512695,4208.205078
17,4182.563965,4212.307617,4218.461426,4189.743652,4205.641113,4195.897461,4203.589844,4192.820313,4180.512695,4196.922852,4190.256348,4184.615234,4195.384766,4202.05127
18,4176.922852,4214.871582,4218.461426,4190.769043,4200.512695,4190.256348,4202.05127,4187.692383,4176.410156,4186.153809,4180.512695,4182.563965,4189.230957,4197.94873
19,4166.666504,4205.641113,4211.282227,4184.615234,4196.922852,4187.692383,4195.897461,4183.589844,4169.743652,4172.307617,4171.794922,4168.717773,4181.538574,4189.230957
20,4182.05127,4210.256348,4217.94873,4192.307617,4209.230957,4197.436035,4203.589844,4193.846191,4188.717773,4186.666504,4188.205078,4172.820313,4190.256348,4200.512695
21,4204.615234,4230.256348,4236.410156,4204.615234,4219.487305,4204.615234,4217.94873,4208.717773,4218.461426,4217.436035,4213.846191,4191.282227,4208.717773,4220.512695
22,4201.025879,4231.282227,4234.871582,4203.589844,4215.897461,4201.025879,4218.461426,4212.307617,4217.94873,4220.512695,4215.384766,4192.307617,4212.820313,4217.94873
23,4188.205078,4218.461426,4220.512695,4195.897461,4213.333496,4197.94873,4210.769043,4207.692383,4202.563965,4205.641113,4201.025879,4181.025879,4202.563965,4205.128418
24,4178.974121,4209.230957,4213.846191,4188.717773,4216.410156,4197.436035,4207.179688,4200.0,4198.461426,4198.974121,4195.384766,4172.820313,4190.769043,4197.436035
25,4178.461426,4206.666504,4214.358887,4190.769043,4216.922852,4200.0,4209.743652,4200.0,4204.615234,4199.487305,4198.974121,4169.743652,4191.282227,4198.461426
26,4181.025879,4206.153809,4218.461426,4196.922852,4212.820313,4203.077148,4207.179688,4204.615234,4205.641113,4203.589844,4202.05127,4170.256348,4197.436035,4207.692383
27,4174.358887,4201.538574,4216.410156,4189.743652,4211.282227,4197.94873,4197.436035,4197.94873,4194.871582,4201.025879,4201.025879,4171.282227,4193.846191,4208.205078
28,4165.128418,4197.94873,4209.230957,4183.077148,4212.307617,4190.769043,4191.794922,4183.077148,4181.538574,4185.641113,4194.358887,4164.615234,4181.025879,4192.307617
29,4169.230957,4202.563965,4208.205078,4191.794922,4214.358887,4194.871582,4197.436035,4183.589844,4183.589844,4184.615234,4196.922852,4163.077148,4184.102539,4190.256348
30,4184.102539,4216.922852,4223.589844,4202.05127,4221.025879,4209.743652,4213.333496,4204.615234,4207.179688,4213.846191,4220.0,4185.128418,4209.743652,4218.974121
31,4190.256348,4229.743652,4234.871582,4204.102539,4231.282227,4215.897461,4223.077148,4218.974121,4223.589844,4230.769043,4233.333496,4206.153809,4222.563965,4233.333496
32,4185.641113,4231.282227,4223.077148,4201.538574,4228.205078,4204.615234,4212.307617,4210.256348,4212.820313,4211.794922,4219.487305,4190.769043,4208.717773,4209.230957
33,4181.025879,4231.794922,4211.794922,4199.487305,4215.897461,4192.307617,4198.461426,4197.436035,4201.538574,4198.461426,4210.769043,4168.205078,4197.436035,4193.846191
34,4185.128418,4238.461426,4218.461426,4199.487305,4216.410156,4189.743652,4198.461426,4192.820313,4204.615234,4205.641113,4217.436035,4169.743652,4198.461426,4203.077148
35,4186.153809,4238.974121,4218.461426,4192.820313,4221.025879,4190.256348,4193.333496,4185.641113,4197.94873,4200.0,4209.230957,4164.615234,4191.794922,4198.974121
36,4175.384766,4228.205078,4205.641113,4183.077148,4213.333496,4185.641113,4183.589844,4179.487305,4181.025879,4182.05127,4195.897461,4150.256348,4182.05127,4185.128418
37,4167.179688,4217.436035,4197.94873,4182.05127,4210.769043,4182.05127,4183.589844,4181.025879,4176.410156,4178.974121,4196.410156,4150.256348,4181.538574,4184.102539
38,4171.794922,4215.384766,4200.512695,4192.307617,4220.512695,4187.692383,4193.333496,4185.641113,4185.641113,4187.179688,4202.563965,4153.846191,4182.05127,4181.538574
39,4181.025879,4221.538574,4208.717773,4200.512695,4228.717773,4199.487305,4203.589844,4193.333496,4201.025879,4197.436035,4210.256348,4152.820313,4189.743652,4184.615234
