,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4206.666504,4215.384766,4216.922852,4203.589844,4212.307617,4211.794922,4194.871582,4200.0,4205.641113,4216.410156,4215.897461,4193.846191,4216.410156,4207.179688
1,4201.538574,4212.307617,4209.743652,4201.025879,4202.05127,4206.666504,4188.205078,4198.461426,4197.94873,4210.256348,4206.153809,4191.282227,4210.769043,4201.538574
2,4201.025879,4213.333496,4207.179688,4200.512695,4201.025879,4213.846191,4196.410156,4197.436035,4210.256348,4215.384766,4205.128418,4196.410156,4215.384766,4203.589844
3,4205.641113,4216.922852,4214.871582,4202.563965,4212.307617,4221.538574,4203.077148,4200.512695,4214.871582,4215.897461,4206.666504,4198.974121,4217.94873,4215.384766
4,4207.692383,4216.410156,4217.436035,4203.589844,4211.282227,4218.974121,4201.538574,4202.563965,4204.615234,4208.717773,4202.563965,4195.897461,4213.846191,4217.94873
5,4201.025879,4208.205078,4206.666504,4201.538574,4203.077148,4217.94873,4205.641113,4200.512695,4210.256348,4203.589844,4201.025879,4191.282227,4209.230957,4201.538574
6,4198.974121,4205.641113,4203.077148,4199.487305,4203.589844,4220.512695,4209.743652,4204.102539,4220.512695,4213.333496,4208.717773,4192.820313,4210.256348,4192.820313
7,4208.205078,4215.384766,4211.282227,4201.025879,4210.769043,4217.436035,4204.102539,4212.820313,4217.436035,4228.205078,4216.410156,4196.922852,4215.384766,4206.666504
8,4210.256348,4220.0,4210.769043,4207.179688,4214.358887,4214.358887,4200.512695,4213.846191,4224.102539,4227.692383,4215.897461,4193.333496,4217.436035,4216.410156
9,4198.461426,4213.333496,4203.589844,4211.794922,4209.230957,4215.384766,4201.025879,4207.179688,4232.820313,4221.025879,4212.307617,4188.717773,4216.922852,4213.333496
10,4201.025879,4213.846191,4209.230957,4213.846191,4210.769043,4221.538574,4202.05127,4203.589844,4220.0,4216.410156,4210.769043,4190.769043,4217.94873,4211.282227
11,4214.358887,4222.563965,4222.563965,4215.384766,4217.436035,4228.205078,4204.615234,4200.512695,4211.282227,4216.410156,4211.794922,4195.384766,4216.410156,4214.871582
12,4221.538574,4231.794922,4228.717773,4218.461426,4216.410156,4233.333496,4212.820313,4202.563965,4226.153809,4220.512695,4213.846191,4203.589844,4216.410156,4225.641113
13,4224.102539,4232.820313,4227.692383,4222.563965,4212.307617,4234.871582,4217.436035,4210.256348,4234.871582,4217.94873,4217.436035,4209.230957,4220.512695,4230.769043
14,4221.538574,4220.512695,4223.077148,4214.358887,4216.410156,4233.846191,4214.871582,4207.692383,4221.025879,4210.769043,4215.384766,4201.538574,4216.922852,4221.025879
15,4216.410156,4211.794922,4217.94873,4201.538574,4216.922852,4232.820313,4213.846191,4206.153809,4211.794922,4212.307617,4211.282227,4193.846191,4206.666504,4212.307617
16,4217.436035,4213.846191,4218.974121,4205.128418,4212.820313,4232.820313,4218.461426,4212.820313,4216.922852,4219.487305,4211.794922,4200.0,4209.743652,4215.384766
17,4219.487305,4217.436035,4220.0,4214.358887,4216.922852,4235.384766,4226.153809,4218.974121,4218.974121,4218.974121,4217.436035,4205.128418,4218.461426,4217.94873
18,4216.410156,4212.820313,4218.974121,4208.205078,4214.871582,4233.333496,4222.05127,4216.410156,4214.871582,4216.410156,4214.871582,4201.025879,4212.307617,4217.94873
19,4212.307617,4206.153809,4216.922852,4200.512695,4201.025879,4220.0,4206.153809,4206.666504,4213.846191,4212.307617,4208.717773,4196.922852,4202.563965,4215.384766
20,4207.179688,4203.589844,4211.282227,4203.077148,4198.461426,4213.333496,4195.897461,4199.487305,4215.384766,4214.358887,4215.384766,4194.871582,4202.05127,4205.641113
21,4200.0,4202.05127,4203.589844,4200.0,4210.256348,4225.128418,4200.512695,4200.0,4219.487305,4215.384766,4216.922852,4186.666504,4200.0,4197.436035
22,4203.589844,4204.102539,4207.179688,4200.0,4216.922852,4236.410156,4206.666504,4201.025879,4219.487305,4202.05127,4202.563965,4182.563965,4198.974121,4198.461426
23,4211.794922,4206.666504,4217.436035,4207.692383,4214.871582,4232.307617,4205.128418,4196.922852,4214.358887,4201.538574,4198.974121,4187.692383,4204.102539,4200.0
24,4212.307617,4206.153809,4214.358887,4206.153809,4210.769043,4229.743652,4206.153809,4198.461426,4215.384766,4215.384766,4203.589844,4188.205078,4199.487305,4197.436035
25,4207.692383,4203.077148,4205.641113,4197.94873,4205.641113,4233.333496,4209.743652,4202.05127,4212.820313,4206.666504,4198.461426,4186.153809,4194.871582,4196.410156
26,4208.717773,4202.05127,4209.743652,4200.512695,4202.05127,4232.820313,4210.256348,4201.025879,4206.153809,4192.820313,4200.0,4188.717773,4206.666504,4201.025879
27,4213.333496,4205.128418,4216.922852,4206.666504,4200.512695,4231.794922,4211.794922,4201.538574,4213.333496,4207.692383,4214.358887,4193.333496,4212.820313,4205.128418
28,4215.384766,4210.256348,4215.897461,4203.589844,4202.563965,4230.769043,4218.974121,4208.717773,4221.025879,4221.025879,4218.974121,4194.358887,4208.717773,4206.153809
29,4212.820313,4210.256348,4213.333496,4200.0,4207.692383,4227.179688,4215.384766,4217.436035,4218.974121,4216.922852,4213.333496,4193.846191,4215.384766,4203.077148
30,4209.230957,4203.589844,4213.846191,4201.538574,4205.641113,4227.179688,4209.230957,4217.94873,4224.615234,4214.871582,4216.410156,4195.384766,4221.538574,4202.05127
31,4207.179688,4202.05127,4215.384766,4202.563965,4200.0,4231.794922,4210.256348,4214.358887,4230.769043,4215.897461,4217.436035,4194.871582,4209.743652,4200.512695
32,4204.615234,4202.563965,4214.358887,4200.0,4200.512695,4232.307617,4207.179688,4214.358887,4227.179688,4217.94873,4205.641113,4188.717773,4200.0,4193.333496
33,4206.153809,4201.538574,4211.282227,4200.512695,4202.563965,4231.282227,4209.230957,4215.384766,4225.128418,4215.384766,4197.94873,4184.615234,4198.974121,4184.615234
34,4208.717773,4204.102539,4211.794922,4204.102539,4202.563965,4232.307617,4216.410156,4215.384766,4225.128418,4206.153809,4197.94873,4185.128418,4192.820313,4185.128418
35,4204.102539,4201.025879,4212.820313,4199.487305,4201.025879,4229.743652,4216.410156,4210.769043,4214.871582,4199.487305,4197.436035,4184.615234,4188.205078,4192.307617
36,4203.589844,4197.436035,4211.794922,4197.94873,4199.487305,4226.666504,4213.333496,4203.589844,4202.05127,4200.0,4201.538574,4185.641113,4192.820313,4197.94873
37,4216.922852,4207.692383,4217.94873,4209.230957,4203.077148,4225.128418,4216.922852,4201.025879,4197.94873,4201.025879,4213.846191,4195.897461,4204.615234,4203.589844
38,4218.461426,4213.846191,4221.538574,4210.256348,4204.102539,4221.025879,4216.922852,4204.615234,4197.94873,4196.410156,4215.897461,4198.974121,4209.230957,4205.128418
39,4208.205078,4203.077148,4215.897461,4200.0,4198.974121,4222.05127,4212.820313,4210.769043,4204.102539,4197.94873,4201.538574,4193.333496,4202.05127,4204.102539
40,4206.666504,4200.0,4215.384766,4200.512695,4198.974121,4228.717773,4214.871582,4214.358887,4215.384766,4211.282227,4198.974121,4194.358887,4198.461426,4204.615234
41,4207.179688,4210.769043,4218.974121,4205.128418,4201.538574,4226.666504,4213.333496,4215.384766,4221.538574,4221.025879,4213.333496,4201.025879,4208.717773,4204.102539
