,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4179.487305,4173.333496,4215.384766,4195.897461,4181.538574,4198.974121,4188.717773,4204.102539,4187.179688,4167.179688,4122.05127,4169.230957,4163.077148,4156.410156
1,4186.153809,4184.615234,4224.615234,4196.922852,4184.615234,4196.410156,4186.666504,4206.153809,4185.128418,4168.717773,4124.102539,4182.563965,4167.692383,4167.692383
2,4195.897461,4189.230957,4235.384766,4198.974121,4189.230957,4197.436035,4188.717773,4205.641113,4188.205078,4174.358887,4129.230957,4187.692383,4172.820313,4173.333496
3,4192.820313,4186.666504,4228.205078,4199.487305,4187.692383,4197.94873,4187.692383,4202.563965,4197.436035,4182.05127,4135.897461,4183.077148,4180.512695,4171.282227
4,4183.077148,4184.102539,4218.461426,4198.461426,4187.692383,4195.384766,4183.589844,4204.102539,4200.0,4186.153809,4130.769043,4184.102539,4184.615234,4174.871582
5,4188.205078,4184.102539,4223.077148,4198.974121,4193.333496,4198.461426,4183.589844,4206.153809,4190.769043,4182.05127,4120.512695,4188.205078,4183.077148,4181.025879
6,4196.922852,4185.641113,4230.256348,4203.077148,4194.358887,4201.025879,4185.641113,4206.666504,4183.077148,4175.897461,4126.153809,4186.153809,4180.0,4183.077148
7,4191.794922,4187.692383,4226.666504,4201.538574,4189.230957,4198.461426,4184.615234,4206.153809,4183.589844,4175.384766,4133.846191,4184.615234,4178.461426,4182.05127
8,4183.589844,4183.077148,4222.563965,4194.871582,4185.641113,4205.641113,4187.692383,4206.153809,4186.153809,4182.05127,4131.794922,4186.666504,4179.487305,4180.512695
9,4183.589844,4173.333496,4219.487305,4195.384766,4186.666504,4218.461426,4190.256348,4205.641113,4191.794922,4189.743652,4132.307617,4182.563965,4182.05127,4181.025879
10,4184.102539,4169.230957,4211.794922,4195.384766,4185.641113,4215.897461,4188.205078,4205.641113,4198.461426,4192.307617,4135.384766,4179.487305,4188.205078,4183.077148
11,4182.563965,4172.820313,4210.256348,4190.256348,4185.128418,4207.179688,4186.153809,4205.641113,4202.563965,4198.461426,4138.461426,4189.743652,4200.0,4188.205078
