,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4220.0,4216.410156,4216.922852,4230.256348,4217.436035,4216.410156,4081.025635,4207.179688,4217.94873,4212.820313,4213.333496,4216.410156,4216.410156,4211.794922
1,4226.666504,4214.358887,4213.846191,4228.205078,4213.846191,4215.384766,4086.153809,4204.615234,4219.487305,4218.461426,4217.436035,4215.384766,4214.358887,4220.512695
2,4223.589844,4210.769043,4213.846191,4226.666504,4212.820313,4214.358887,4088.205078,4206.666504,4216.410156,4217.94873,4222.563965,4220.512695,4221.538574,4216.410156
3,4227.692383,4216.410156,4222.05127,4231.282227,4215.897461,4213.846191,4089.743652,4212.820313,4215.897461,4213.846191,4219.487305,4229.230957,4233.846191,4213.846191
4,4229.743652,4214.871582,4224.102539,4233.333496,4213.846191,4212.307617,4091.794922,4216.922852,4218.461426,4221.538574,4222.563965,4229.743652,4234.871582,4217.436035
5,4219.487305,4202.563965,4215.384766,4224.102539,4205.128418,4211.282227,4093.333252,4212.820313,4211.794922,4225.128418,4230.256348,4222.05127,4226.666504,4216.410156
6,4219.487305,4197.436035,4215.897461,4220.0,4206.153809,4215.897461,4100.512695,4210.256348,4201.025879,4217.94873,4231.794922,4221.025879,4225.641113,4213.333496
7,4228.717773,4202.563965,4222.563965,4227.692383,4213.846191,4220.0,4107.179688,4215.384766,4197.94873,4213.846191,4230.256348,4229.230957,4229.230957,4215.384766
8,4231.794922,4206.153809,4220.0,4232.820313,4206.666504,4209.743652,4104.615234,4216.922852,4206.153809,4222.563965,4232.820313,4230.256348,4233.333496,4223.589844
9,4229.743652,4204.102539,4216.410156,4228.205078,4196.410156,4201.538574,4103.589844,4216.922852,4221.538574,4232.820313,4238.461426,4225.641113,4235.897461,4230.256348
10,4224.615234,4201.025879,4215.897461,4222.05127,4201.025879,4210.256348,4109.230957,4219.487305,4233.333496,4235.384766,4231.794922,4225.128418,4230.769043,4222.563965
11,4216.922852,4200.512695,4212.820313,4217.94873,4204.102539,4214.358887,4109.743652,4220.512695,4236.922852,4234.358887,4224.615234,4230.256348,4230.769043,4212.307617
12,4216.922852,4202.563965,4214.358887,4218.461426,4203.589844,4207.179688,4107.692383,4217.94873,4234.358887,4233.333496,4227.692383,4232.307617,4228.717773,4216.410156
13,4220.0,4204.615234,4215.897461,4220.512695,4210.256348,4209.743652,4111.794922,4216.410156,4225.128418,4225.641113,4228.205078,4223.589844,4218.974121,4220.0
14,4216.410156,4204.102539,4212.820313,4221.538574,4214.871582,4217.94873,4118.461426,4216.410156,4210.256348,4209.743652,4222.05127,4216.410156,4212.820313,4206.153809
15,4211.794922,4202.05127,4210.256348,4223.077148,4214.358887,4216.922852,4120.512695,4214.358887,4200.0,4201.538574,4216.410156,4214.871582,4210.769043,4196.922852
16,4212.307617,4197.94873,4208.205078,4221.025879,4216.922852,4215.384766,4123.077148,4210.769043,4196.922852,4201.538574,4206.153809,4207.179688,4210.256348,4202.05127
17,4211.794922,4192.820313,4203.077148,4214.871582,4215.384766,4218.974121,4123.589844,4208.205078,4196.410156,4202.05127,4195.384766,4200.0,4208.717773,4204.615234
18,4205.641113,4186.153809,4200.512695,4210.769043,4204.615234,4217.436035,4121.538574,4208.205078,4201.538574,4204.102539,4201.538574,4203.589844,4204.102539,4200.512695
19,4195.897461,4182.05127,4201.025879,4205.641113,4200.512695,4214.358887,4121.025879,4209.743652,4211.282227,4204.102539,4205.128418,4205.128418,4200.512695,4190.769043
20,4193.333496,4183.077148,4197.436035,4200.0,4204.102539,4212.307617,4122.05127,4211.794922,4215.897461,4202.05127,4202.05127,4204.615234,4199.487305,4185.641113
21,4196.410156,4183.589844,4197.436035,4205.641113,4202.563965,4210.769043,4122.563965,4215.384766,4213.846191,4200.512695,4206.666504,4207.692383,4196.410156,4194.871582
22,4200.0,4186.666504,4202.563965,4215.897461,4200.0,4209.230957,4124.102539,4216.410156,4215.897461,4207.179688,4209.230957,4206.153809,4198.974121,4201.025879
23,4206.153809,4197.436035,4204.615234,4216.410156,4208.205078,4212.307617,4130.769043,4218.461426,4223.589844,4216.410156,4206.666504,4206.153809,4207.179688,4197.436035
