,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4222.563965,4177.94873,4215.897461,4214.871582,4200.512695,4194.358887,4210.769043,4200.0,4189.230957,4223.077148,4223.077148,4221.025879,4220.0,4232.820313
1,4217.436035,4169.230957,4205.128418,4210.256348,4199.487305,4196.410156,4207.692383,4200.0,4190.256348,4211.794922,4216.410156,4215.897461,4212.820313,4230.769043
2,4213.846191,4170.256348,4198.461426,4203.589844,4197.94873,4200.512695,4202.05127,4197.436035,4204.615234,4214.871582,4204.102539,4206.666504,4207.179688,4228.205078
3,4206.666504,4174.358887,4201.538574,4204.615234,4199.487305,4206.153809,4201.025879,4191.794922,4217.94873,4215.384766,4201.538574,4203.589844,4203.077148,4223.077148
4,4199.487305,4163.589844,4195.897461,4200.0,4200.0,4213.846191,4201.025879,4190.769043,4216.410156,4205.128418,4202.05127,4202.05127,4198.461426,4216.410156
5,4196.410156,4150.769043,4185.128418,4190.256348,4197.436035,4212.307617,4198.974121,4194.358887,4213.846191,4205.128418,4195.897461,4196.410156,4197.436035,4215.897461
6,4197.436035,4155.897461,4190.769043,4192.307617,4195.897461,4203.589844,4198.461426,4197.436035,4217.94873,4212.307617,4197.94873,4202.05127,4205.641113,4227.179688
7,4201.538574,4169.230957,4203.077148,4201.538574,4197.436035,4202.563965,4205.128418,4200.512695,4221.025879,4215.897461,4212.820313,4215.897461,4217.94873,4238.461426
8,4207.179688,4170.769043,4203.589844,4203.589844,4197.436035,4205.128418,4215.384766,4203.077148,4219.487305,4222.05127,4219.487305,4220.0,4218.461426,4238.461426
9,4205.641113,4167.179688,4201.538574,4201.025879,4196.410156,4201.025879,4215.384766,4202.563965,4213.333496,4223.077148,4214.871582,4216.410156,4214.871582,4237.94873
10,4205.641113,4168.717773,4209.743652,4203.077148,4197.94873,4197.94873,4210.256348,4202.05127,4210.256348,4220.0,4219.487305,4218.461426,4218.461426,4247.179688
11,4212.307617,4172.820313,4214.358887,4204.102539,4200.512695,4198.974121,4213.846191,4205.128418,4209.230957,4226.666504,4225.128418,4223.077148,4222.05127,4250.256348
12,4208.717773,4166.666504,4205.128418,4200.0,4198.974121,4202.05127,4217.436035,4205.128418,4206.666504,4226.666504,4217.94873,4218.461426,4218.974121,4241.025879
13,4195.384766,4155.897461,4197.436035,4197.94873,4196.410156,4208.717773,4212.820313,4201.538574,4212.307617,4213.333496,4214.358887,4209.230957,4208.205078,4233.846191
14,4192.820313,4155.897461,4198.974121,4200.512695,4200.0,4216.410156,4208.205078,4200.0,4222.05127,4213.846191,4214.358887,4206.666504,4199.487305,4228.205078
15,4193.333496,4157.436035,4196.922852,4197.94873,4201.538574,4213.333496,4204.615234,4197.436035,4220.0,4216.410156,4204.615234,4205.641113,4200.0,4221.025879
16,4186.666504,4151.794922,4192.820313,4192.820313,4198.461426,4204.102539,4199.487305,4193.846191,4214.871582,4203.589844,4194.358887,4199.487305,4198.461426,4221.025879
17,4191.794922,4158.461426,4197.436035,4198.974121,4197.436035,4208.205078,4202.563965,4196.922852,4216.922852,4204.615234,4197.94873,4203.589844,4199.487305,4232.307617
18,4202.563965,4167.179688,4204.102539,4205.641113,4201.025879,4214.871582,4212.307617,4201.538574,4220.0,4222.563965,4210.256348,4216.410156,4206.153809,4241.025879
19,4201.025879,4160.512695,4202.563965,4201.538574,4201.538574,4205.641113,4208.717773,4201.025879,4214.358887,4218.974121,4210.769043,4218.974121,4207.692383,4237.94873
20,4197.94873,4158.974121,4199.487305,4198.461426,4199.487305,4198.461426,4202.563965,4200.0,4201.538574,4207.692383,4199.487305,4216.410156,4208.205078,4237.94873
21,4204.102539,4170.769043,4203.077148,4201.538574,4200.0,4202.563965,4205.641113,4200.0,4198.461426,4212.820313,4204.615234,4218.974121,4212.820313,4248.717773
22,4207.692383,4175.897461,4206.153809,4203.589844,4201.538574,4204.615234,4207.692383,4198.974121,4207.179688,4217.94873,4217.94873,4220.0,4217.94873,4251.282227
23,4202.563965,4170.256348,4203.589844,4202.563965,4202.563965,4207.179688,4203.589844,4198.974121,4211.794922,4214.871582,4211.794922,4216.410156,4214.358887,4240.0
24,4196.922852,4166.153809,4197.94873,4200.512695,4203.589844,4215.384766,4208.717773,4197.436035,4213.333496,4215.384766,4201.538574,4211.794922,4203.589844,4229.230957
25,4197.436035,4165.641113,4197.436035,4198.974121,4202.05127,4217.436035,4212.307617,4197.436035,4219.487305,4221.538574,4205.128418,4212.820313,4205.128418,4228.205078
26,4198.461426,4166.666504,4199.487305,4199.487305,4201.538574,4206.153809,4205.128418,4199.487305,4218.974121,4219.487305,4209.230957,4214.358887,4216.410156,4228.717773
27,4197.94873,4167.692383,4199.487305,4201.025879,4206.666504,4201.538574,4203.589844,4201.025879,4217.94873,4216.410156,4213.846191,4214.871582,4220.512695,4229.230957
28,4199.487305,4169.230957,4201.538574,4204.102539,4207.179688,4209.230957,4206.153809,4201.538574,4221.025879,4222.05127,4216.410156,4217.94873,4217.436035,4230.256348
29,4200.0,4170.769043,4202.05127,4203.077148,4200.0,4209.230957,4201.538574,4199.487305,4212.820313,4223.589844,4214.871582,4218.974121,4217.436035,4230.256348
30,4201.025879,4171.282227,4201.538574,4200.512695,4205.641113,4206.666504,4199.487305,4196.922852,4205.128418,4220.512695,4216.410156,4217.436035,4216.410156,4230.769043
31,4201.538574,4170.769043,4204.615234,4203.589844,4214.358887,4213.846191,4208.205078,4197.94873,4209.230957,4221.538574,4215.384766,4216.922852,4215.897461,4232.307617
32,4201.025879,4171.282227,4211.794922,4205.128418,4206.153809,4215.897461,4214.871582,4200.0,4208.205078,4220.512695,4210.256348,4220.512695,4216.410156,4232.820313
33,4206.666504,4172.820313,4215.897461,4202.563965,4203.589844,4211.282227,4213.333496,4199.487305,4205.128418,4216.410156,4212.820313,4226.666504,4215.897461,4239.487305
34,4209.743652,4173.846191,4212.820313,4204.615234,4211.794922,4217.436035,4216.410156,4204.615234,4216.922852,4217.94873,4214.358887,4230.256348,4215.384766,4245.641113
35,4204.102539,4168.717773,4207.692383,4205.128418,4207.179688,4222.05127,4221.025879,4208.717773,4226.666504,4219.487305,4208.205078,4227.692383,4208.717773,4240.0
