,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4206.153809,4197.94873,4235.384766,4216.410156,4203.077148,4202.05127,4195.384766,4205.641113,4163.589844,4225.128418,4169.230957,4197.436035,4167.179688,4221.538574
1,4216.922852,4204.102539,4239.487305,4215.897461,4203.589844,4203.589844,4205.128418,4201.538574,4164.615234,4229.743652,4184.102539,4204.102539,4181.538574,4229.743652
2,4232.820313,4217.436035,4247.692383,4216.922852,4202.05127,4203.589844,4214.871582,4200.0,4157.94873,4234.871582,4190.769043,4218.461426,4196.410156,4236.410156
3,4227.692383,4216.410156,4246.153809,4216.922852,4205.641113,4203.077148,4212.307617,4206.153809,4155.384766,4236.922852,4185.128418,4218.974121,4194.358887,4233.333496
4,4224.102539,4211.794922,4245.128418,4217.436035,4206.153809,4200.512695,4207.179688,4207.692383,4162.05127,4245.128418,4187.179688,4217.94873,4194.871582,4233.333496
5,4232.820313,4214.358887,4249.230957,4217.94873,4200.512695,4199.487305,4213.846191,4201.538574,4166.153809,4247.179688,4195.384766,4228.205078,4208.205078,4234.358887
6,4228.717773,4210.769043,4244.102539,4218.974121,4203.589844,4205.641113,4215.897461,4201.538574,4162.563965,4240.0,4188.717773,4225.128418,4210.256348,4225.641113
7,4215.897461,4201.025879,4229.230957,4217.436035,4208.717773,4207.179688,4204.615234,4203.077148,4158.974121,4229.743652,4170.769043,4206.153809,4187.179688,4210.769043
8,4212.820313,4197.94873,4221.538574,4213.846191,4202.05127,4202.05127,4196.410156,4201.025879,4156.922852,4217.436035,4165.128418,4197.94873,4170.256348,4202.05127
9,4213.846191,4198.461426,4225.641113,4215.897461,4200.512695,4208.205078,4202.05127,4202.563965,4155.384766,4214.871582,4172.307617,4204.102539,4177.436035,4198.974121
10,4216.922852,4204.102539,4234.871582,4220.512695,4211.794922,4218.974121,4208.717773,4205.128418,4157.94873,4227.692383,4174.871582,4210.256348,4188.717773,4203.589844
11,4224.615234,4212.820313,4237.436035,4221.538574,4213.846191,4219.487305,4207.179688,4203.589844,4160.512695,4236.410156,4176.922852,4210.769043,4190.256348,4208.205078
12,4223.077148,4216.410156,4228.717773,4220.0,4206.153809,4211.794922,4202.563965,4203.077148,4159.487305,4234.358887,4182.563965,4212.307617,4191.282227,4206.153809
13,4216.922852,4215.384766,4224.102539,4219.487305,4207.179688,4207.692383,4203.077148,4205.128418,4154.871582,4232.820313,4178.974121,4215.384766,4193.333496,4206.666504
14,4218.974121,4213.333496,4223.589844,4218.974121,4211.282227,4211.282227,4206.153809,4204.615234,4154.871582,4231.282227,4172.820313,4212.307617,4192.307617,4210.256348
15,4214.358887,4203.589844,4216.410156,4214.358887,4203.077148,4213.333496,4205.641113,4203.077148,4153.333496,4221.025879,4168.717773,4204.102539,4185.641113,4200.0
16,4202.563965,4193.846191,4207.179688,4210.769043,4194.871582,4206.666504,4200.512695,4201.538574,4150.769043,4210.256348,4158.974121,4199.487305,4174.871582,4182.563965
17,4199.487305,4194.358887,4207.179688,4212.820313,4201.025879,4206.153809,4203.589844,4201.538574,4160.0,4210.769043,4155.897461,4198.974121,4170.769043,4178.974121
18,4201.538574,4196.922852,4209.743652,4216.410156,4206.153809,4211.282227,4209.230957,4200.0,4168.205078,4215.897461,4165.128418,4200.512695,4178.461426,4186.666504
19,4206.666504,4202.563965,4213.846191,4216.922852,4204.102539,4206.153809,4210.256348,4202.05127,4160.512695,4218.974121,4175.384766,4205.128418,4190.256348,4192.820313
20,4215.384766,4210.256348,4220.0,4215.384766,4203.077148,4198.974121,4208.205078,4206.153809,4154.871582,4225.641113,4178.974121,4210.256348,4193.846191,4197.94873
21,4217.94873,4207.179688,4222.563965,4214.358887,4201.538574,4197.436035,4206.153809,4206.153809,4158.461426,4226.153809,4178.461426,4211.282227,4189.230957,4198.974121
22,4210.256348,4201.025879,4219.487305,4214.358887,4198.461426,4196.922852,4203.589844,4204.102539,4158.974121,4220.0,4175.897461,4210.256348,4184.615234,4195.384766
23,4206.153809,4201.025879,4215.897461,4212.307617,4201.025879,4198.974121,4201.025879,4203.589844,4154.871582,4214.358887,4171.794922,4205.641113,4178.974121,4187.179688
24,4199.487305,4189.230957,4207.179688,4205.641113,4198.974121,4200.512695,4194.358887,4199.487305,4152.307617,4208.205078,4162.05127,4193.846191,4167.692383,4176.922852
25,4186.153809,4169.743652,4196.410156,4198.461426,4186.666504,4194.871582,4185.641113,4198.461426,4150.769043,4198.974121,4151.282227,4183.077148,4159.487305,4166.666504
26,4188.205078,4180.0,4200.0,4199.487305,4187.179688,4192.820313,4185.641113,4201.538574,4150.769043,4196.922852,4154.871582,4184.615234,4168.717773,4163.589844
27,4205.128418,4206.153809,4212.820313,4208.717773,4200.512695,4201.025879,4197.94873,4200.0,4159.487305,4207.692383,4166.153809,4196.922852,4183.589844,4174.871582
28,4209.230957,4206.153809,4213.846191,4215.897461,4204.102539,4205.128418,4205.128418,4199.487305,4167.692383,4217.436035,4172.307617,4200.512695,4187.179688,4186.153809
29,4202.05127,4195.384766,4207.179688,4213.846191,4199.487305,4202.563965,4203.589844,4206.153809,4165.128418,4218.974121,4171.794922,4192.307617,4185.128418,4189.230957
30,4203.077148,4201.538574,4207.692383,4212.307617,4200.0,4200.512695,4201.025879,4205.641113,4156.922852,4215.384766,4170.769043,4191.282227,4184.102539,4190.256348
31,4208.717773,4212.307617,4210.256348,4216.922852,4203.589844,4201.025879,4201.025879,4201.538574,4156.410156,4217.436035,4174.871582,4198.974121,4186.666504,4191.794922
32,4205.641113,4207.179688,4209.230957,4217.436035,4204.615234,4201.025879,4201.538574,4203.077148,4163.589844,4221.538574,4180.0,4198.974121,4184.615234,4194.358887
33,4198.974121,4196.410156,4200.0,4213.846191,4202.563965,4199.487305,4198.461426,4202.563965,4166.153809,4221.025879,4176.922852,4193.333496,4181.538574,4194.871582
34,4194.871582,4190.256348,4188.205078,4213.333496,4198.974121,4198.974121,4191.794922,4201.025879,4158.974121,4215.897461,4167.692383,4185.641113,4175.897461,4186.153809
35,4191.794922,4188.717773,4183.589844,4214.358887,4200.512695,4200.512695,4185.641113,4203.589844,4154.358887,4205.128418,4167.179688,4178.461426,4171.794922,4177.94873
36,4192.820313,4190.769043,4187.179688,4215.384766,4202.05127,4199.487305,4185.128418,4203.589844,4156.410156,4205.641113,4174.871582,4183.589844,4181.538574,4187.692383
37,4205.641113,4194.871582,4192.307617,4216.410156,4202.05127,4195.897461,4192.307617,4202.05127,4155.384766,4222.563965,4185.641113,4198.974121,4199.487305,4210.256348
38,4218.461426,4204.615234,4195.897461,4217.436035,4202.563965,4194.871582,4203.589844,4203.589844,4155.897461,4233.846191,4196.410156,4204.102539,4207.692383,4226.666504
39,4220.0,4209.230957,4197.94873,4215.384766,4203.077148,4193.333496,4207.692383,4202.563965,4162.05127,4230.769043,4200.0,4203.077148,4206.153809,4230.256348
40,4215.897461,4203.589844,4197.436035,4214.871582,4203.077148,4193.333496,4207.179688,4200.512695,4166.666504,4237.94873,4196.410156,4203.589844,4205.641113,4226.666504
41,4210.769043,4200.512695,4190.769043,4215.384766,4203.077148,4197.94873,4207.179688,4201.538574,4169.230957,4246.666504,4194.358887,4203.077148,4199.487305,4225.641113
42,4206.153809,4202.563965,4183.589844,4211.282227,4202.05127,4202.05127,4207.692383,4201.538574,4169.743652,4238.974121,4196.410156,4202.05127,4195.384766,4228.717773
43,4196.922852,4188.205078,4180.0,4208.205078,4198.461426,4202.05127,4203.589844,4199.487305,4168.717773,4230.769043,4194.871582,4194.871582,4193.846191,4226.666504
44,4186.153809,4173.333496,4175.384766,4208.205078,4193.846191,4197.436035,4194.358887,4201.538574,4169.230957,4227.179688,4187.692383,4189.230957,4187.179688,4217.436035
45,4191.794922,4186.153809,4176.410156,4207.179688,4192.820313,4193.333496,4191.794922,4204.102539,4166.153809,4221.538574,4187.179688,4193.846191,4188.717773,4215.897461
46,4204.102539,4201.538574,4181.538574,4208.717773,4197.94873,4195.384766,4192.307617,4203.077148,4157.436035,4217.94873,4189.230957,4195.897461,4191.282227,4223.589844
47,4202.05127,4200.0,4180.512695,4213.846191,4202.563965,4198.461426,4190.256348,4204.102539,4152.820313,4215.384766,4184.615234,4190.256348,4187.179688,4222.05127
48,4199.487305,4201.538574,4178.974121,4215.384766,4202.563965,4193.333496,4194.358887,4205.128418,4161.538574,4222.05127,4186.666504,4198.461426,4193.846191,4219.487305
49,4204.615234,4208.205078,4183.077148,4213.846191,4203.589844,4191.794922,4201.025879,4203.077148,4168.205078,4233.333496,4197.94873,4204.615234,4206.666504,4229.230957
50,4202.05127,4206.153809,4178.461426,4212.307617,4203.077148,4194.358887,4201.538574,4198.974121,4158.974121,4226.153809,4192.820313,4192.820313,4200.512695,4226.153809
51,4196.922852,4199.487305,4171.794922,4211.794922,4200.0,4202.563965,4200.0,4201.025879,4157.436035,4213.846191,4181.538574,4188.717773,4188.717773,4212.820313
52,4196.922852,4196.410156,4170.769043,4210.256348,4197.94873,4210.769043,4202.563965,4203.589844,4171.282227,4217.94873,4185.128418,4195.384766,4190.769043,4212.307617
53,4195.897461,4196.410156,4170.769043,4207.692383,4197.94873,4206.153809,4200.512695,4202.05127,4171.282227,4218.974121,4185.128418,4193.846191,4190.769043,4214.358887
54,4199.487305,4196.410156,4171.282227,4208.717773,4199.487305,4207.179688,4197.436035,4202.563965,4162.563965,4216.922852,4184.615234,4196.922852,4189.230957,4214.871582
55,4201.025879,4191.794922,4172.307617,4209.230957,4202.05127,4215.384766,4200.512695,4203.589844,4166.153809,4218.461426,4188.205078,4202.563965,4192.307617,4220.0
56,4196.922852,4192.307617,4171.282227,4204.102539,4196.922852,4206.153809,4197.94873,4201.025879,4167.179688,4215.897461,4186.666504,4200.512695,4194.358887,4225.128418
57,4205.641113,4204.615234,4176.410156,4201.538574,4191.282227,4189.230957,4191.282227,4200.512695,4156.410156,4216.410156,4191.282227,4197.436035,4195.384766,4233.333496
58,4213.846191,4211.282227,4181.025879,4208.205078,4197.94873,4191.794922,4192.307617,4201.538574,4151.794922,4219.487305,4200.0,4201.538574,4199.487305,4245.641113
