,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4251.282227,4203.077148,4240.0,4239.487305,4235.384766,4208.717773,4227.692383,4218.974121,4255.897461,4220.0,4252.820313,4243.589844,4222.05127,4245.641113
1,4252.307617,4205.641113,4235.897461,4242.563965,4236.410156,4203.589844,4223.077148,4212.307617,4253.846191,4221.025879,4252.307617,4242.05127,4221.025879,4246.666504
2,4238.461426,4192.307617,4223.077148,4232.307617,4231.282227,4202.05127,4215.897461,4201.538574,4248.205078,4216.922852,4247.179688,4238.974121,4212.820313,4236.410156
3,4214.871582,4170.256348,4207.179688,4210.769043,4218.974121,4206.666504,4210.769043,4191.794922,4242.563965,4207.692383,4232.820313,4222.563965,4196.922852,4216.922852
4,4197.94873,4154.358887,4199.487305,4194.358887,4209.230957,4209.743652,4212.820313,4188.717773,4235.384766,4194.871582,4212.820313,4202.563965,4176.410156,4196.922852
5,4193.846191,4151.282227,4195.384766,4189.230957,4207.692383,4207.179688,4213.333496,4187.179688,4228.717773,4185.128418,4201.025879,4196.410156,4165.641113,4188.717773
6,4200.0,4158.461426,4198.461426,4194.358887,4211.794922,4203.589844,4216.410156,4190.769043,4233.846191,4189.230957,4204.615234,4205.641113,4173.846191,4194.871582
7,4213.333496,4174.871582,4211.282227,4205.641113,4216.410156,4203.589844,4229.743652,4202.563965,4249.743652,4206.666504,4222.563965,4216.922852,4193.846191,4210.256348
8,4229.743652,4193.333496,4227.692383,4216.922852,4222.05127,4202.563965,4239.487305,4211.794922,4264.615234,4226.153809,4242.05127,4230.256348,4212.820313,4229.230957
9,4243.589844,4205.128418,4238.974121,4229.230957,4226.153809,4191.794922,4235.384766,4211.794922,4267.179688,4234.358887,4257.436035,4245.128418,4227.179688,4247.692383
10,4248.717773,4205.128418,4241.538574,4235.384766,4224.102539,4183.589844,4229.743652,4206.666504,4257.436035,4233.333496,4262.563965,4246.153809,4233.333496,4251.794922
11,4245.641113,4202.563965,4241.538574,4227.692383,4218.974121,4183.589844,4229.743652,4204.102539,4255.897461,4228.717773,4254.871582,4238.974121,4229.743652,4247.692383
12,4235.897461,4203.589844,4238.974121,4219.487305,4218.461426,4188.717773,4234.871582,4205.641113,4265.641113,4224.102539,4249.743652,4235.384766,4224.615234,4246.153809
13,4224.102539,4196.410156,4229.743652,4213.846191,4216.922852,4195.897461,4241.538574,4206.666504,4263.589844,4220.512695,4247.179688,4227.179688,4215.897461,4232.820313
14,4213.846191,4184.102539,4221.538574,4205.641113,4211.794922,4198.461426,4244.102539,4206.153809,4252.307617,4212.307617,4233.846191,4211.794922,4205.641113,4215.384766
15,4208.205078,4183.077148,4219.487305,4203.589844,4211.794922,4202.05127,4250.769043,4206.153809,4247.692383,4202.563965,4220.512695,4208.717773,4199.487305,4212.820313
